title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files,ad_id
Toyota Hilux,600,,0,,,,0.0,0.0,Armagh and banbridge,2023-02-18 23:56:27.813922,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,311659738
Seat Leon 2.0  16V  TDI  Reference  Sport  5dr,800,,242000,Manual,Diesel,Hatchback,2.0,5.0,County antrim,2023-02-18 23:56:27.815922,usedcarsni.com/2008-Seat-Leon-2-0-16V-TDI-Reference-Sport-5dr-315186218?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315186218
Citroen Xsara Picasso 1.6  HDi  92  VTX  5dr,POA,,106000,Manual,Diesel,MPV,1.6,5.0,Magherafelt,2023-02-18 23:56:27.817423,usedcarsni.com/2008-Citroen-Xsara-Picasso-1-6-HDi-92-VTX-5dr-315132070?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315132070
BMW 3 Series 318i  Edition  SE  4dr,1095,,54000,Manual,Petrol,Saloon,2.0,4.0,Kesh,2023-02-18 23:56:27.818423,usedcarsni.com/2008-BMW-3-Series-318i-Edition-SE-4dr-314883886?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314883886
Vauxhall Agila 1.2i  16V  Design  [80]  5dr,1200,,73600,Manual,Petrol,MPV,1.2,5.0,Armagh,2023-02-18 23:56:27.819424,usedcarsni.com/2005-Vauxhall-Agila-1-2i-16V-Design-80-5dr-315077497?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315077497
Toyota Hilux,1234,,0,,,,0.0,0.0,Armagh and banbridge,2023-02-18 23:56:27.820922,usedcarsni.com/2020-Toyota-Hilux-314326567?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314326567
Renault Laguna 1.9  dCi  130  Expression  Navigation  5dr,1250,,210600,Manual,Diesel,Estate,1.9,5.0,Dungannon,2023-02-18 23:56:27.822423,usedcarsni.com/2007-Renault-Laguna-1-9-dCi-130-Expression-Navigation-5dr-315251849?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315251849
Volkswagen Polo 1.2  E  64  3dr,1295,,140000,Manual,Petrol,Hatchback,1.2,3.0,Strabane,2023-02-18 23:56:27.823922,usedcarsni.com/2005-Volkswagen-Polo-1-2-E-64-3dr-315253085?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315253085
Seat Ibiza 1.2  S  5dr,1295,,108000,Manual,Petrol,Hatchback,1.2,5.0,Coleraine,2023-02-18 23:56:27.825423,usedcarsni.com/2008-Seat-Ibiza-1-2-S-5dr-315341734?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315341734
Volkswagen Polo 1.9  E  SDI  64  3dr,1300,,170877,Manual,Diesel,Hatchback,1.9,3.0,Ballymoney,2023-02-18 23:56:27.826924,usedcarsni.com/2004-Volkswagen-Polo-1-9-E-SDI-64-3dr-314689137?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314689137
