title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Toyota Hilux,600,,0,,,,0,0,Armagh and banbridge,2023-02-19 00:11:40.763930,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Seat Leon 2.0  16V  TDI  Reference  Sport  5dr,800,,242000,Manual,Diesel,Hatchback,2.0,5.0,County antrim,2023-02-19 00:11:40.765931,usedcarsni.com/2008-Seat-Leon-2-0-16V-TDI-Reference-Sport-5dr-315186218?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
BMW 3 Series 318i  Edition  SE  4dr,1095,,54000,Manual,Petrol,Saloon,2.0,4.0,Kesh,2023-02-19 00:11:40.767432,usedcarsni.com/2008-BMW-3-Series-318i-Edition-SE-4dr-314883886?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Agila 1.2i  16V  Design  [80]  5dr,1200,,73600,Manual,Petrol,MPV,1.2,5.0,Armagh,2023-02-19 00:11:40.769432,usedcarsni.com/2005-Vauxhall-Agila-1-2i-16V-Design-80-5dr-315077497?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Hilux,1234,,0,,,,0,0,Armagh and banbridge,2023-02-19 00:11:40.771432,usedcarsni.com/2020-Toyota-Hilux-314326567?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Laguna 1.9  dCi  130  Expression  Navigation  5dr,1250,,210600,Manual,Diesel,Estate,1.9,5.0,Dungannon,2023-02-19 00:11:40.773432,usedcarsni.com/2007-Renault-Laguna-1-9-dCi-130-Expression-Navigation-5dr-315251849?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Volkswagen Polo 1.2  E  64  3dr,1295,,140000,Manual,Petrol,Hatchback,1.2,3.0,Strabane,2023-02-19 00:11:40.775431,usedcarsni.com/2005-Volkswagen-Polo-1-2-E-64-3dr-315253085?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Seat Ibiza 1.2  S  5dr,1295,,108000,Manual,Petrol,Hatchback,1.2,5.0,Coleraine,2023-02-19 00:11:40.777431,usedcarsni.com/2008-Seat-Ibiza-1-2-S-5dr-315341734?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Volkswagen Polo 1.9  E  SDI  64  3dr,1300,,170877,Manual,Diesel,Hatchback,1.9,3.0,Ballymoney,2023-02-19 00:11:40.779432,usedcarsni.com/2004-Volkswagen-Polo-1-9-E-SDI-64-3dr-314689137?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Seat Leon 2.0  16V  TDI  Sport  5dr,1300,,187000,Manual,Diesel,Hatchback,2.0,5.0,Cookstown,2023-02-19 00:11:40.780931,usedcarsni.com/2006-Seat-Leon-2-0-16V-TDI-Sport-5dr-315077684?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
